Week,Game,Team 1, Team 2, Court 1, Court 2
1,1,16,22,19,20
1,1,32,38,21,22
1,1,13,39,13,14
1,1,6,15,25,26
1,1,34,20,23,24
1,1,40,23,11,12
1,1,11,37,27,28
1,1,33,26,15,16
1,1,25,31,1,2
1,1,10,4,3,4
1,1,8,18,17,18
1,1,17,29,33,34
1,1,35,28,5,6
1,1,2,27,7,8
1,1,9,12,39,40
1,2,17,18,7,8
1,2,29,21,3,4
1,2,38,22,11,12
1,2,35,39,17,18
1,2,33,12,33,34
1,2,14,7,1,2
1,2,24,31,25,26
1,2,1,28,9,10
1,2,10,20,21,22
1,2,4,15,19,20
1,3,37,23,15,16
1,3,1,19,21,22
1,3,34,31,25,26
1,3,8,12,29,30
1,3,24,30,9,10
1,3,16,26,13,14
1,3,9,35,39,40
1,3,27,38,33,34
1,3,20,4,31,32
1,3,29,15,3,4
1,3,5,7,19,20
1,3,40,13,35,36
2,1,12,31,33,34
2,1,18,37,13,14
2,1,9,34,39,40
2,1,25,22,17,18
2,1,17,21,5,6
2,1,16,7,35,36
2,1,28,39,9,10
2,1,10,27,31,32
2,1,33,20,37,38
2,1,32,1,23,24
2,1,26,2,1,2
2,1,8,4,11,12
2,1,38,6,19,20
2,1,11,23,15,16
2,1,35,13,7,8
2,1,40,36,29,30
2,2,1,23,33,34
2,2,32,22,15,16
2,2,9,26,13,14
2,2,25,11,35,36
2,2,18,27,19,20
2,2,12,6,39,40
2,2,5,13,7,8
2,2,10,7,11,12
2,2,34,14,31,32
2,3,25,28,23,24
2,3,24,14,15,16
2,3,1,34,35,36
2,3,19,6,39,40
2,3,20,30,33,34
2,3,16,32,25,26
2,3,33,27,11,12
2,3,2,37,7,8
2,3,36,39,3,4
2,3,8,26,5,6
2,3,40,38,13,14
3,1,34,19,17,18
3,1,11,12,23,24
3,1,18,13,39,40
3,1,28,37,11,12
3,1,26,31,1,2
3,1,8,36,3,4
3,1,10,5,13,14
3,1,23,15,35,36
3,1,35,20,21,22
3,1,2,4,27,28
3,2,32,10,7,8
3,2,27,3,17,18
3,2,18,5,39,40
3,2,40,33,25,26
3,2,25,37,35,36
3,2,24,38,19,20
3,2,4,13,37,38
3,2,16,6,13,14
3,2,17,22,27,28
3,2,30,15,33,34
3,2,12,7,5,6
3,2,2,39,3,4
3,2,9,23,1,2
3,2,11,31,11,12
3,2,8,1,21,22
3,3,3,22,19,20
3,3,2,5,17,18
3,3,1,4,21,22
3,3,26,14,15,16
3,3,9,29,5,6
3,3,20,13,13,14
3,3,32,31,33,34
3,3,40,35,25,26
3,3,18,11,23,24
3,3,21,38,39,40
3,3,15,7,3,4
3,3,28,6,1,2
3,3,17,34,9,10
4,1,1,15,25,26
4,1,25,14,39,40
4,1,26,27,7,8
4,1,40,4,9,10
4,1,21,39,19,20
4,1,18,29,29,30
4,1,34,3,17,18
4,1,12,23,31,32
4,1,32,7,33,34
4,1,17,5,3,4
4,1,33,6,15,16
4,1,20,38,1,2
4,1,24,19,27,28
4,2,32,39,15,16
4,2,20,29,9,10
4,2,12,38,7,8
4,2,9,25,31,32
4,2,35,21,37,38
4,2,36,15,29,30
4,2,3,31,21,22
4,2,34,23,19,20
4,2,33,10,5,6
4,2,14,30,33,34
4,2,16,18,39,40
4,2,1,7,11,12
4,2,28,22,35,36
4,2,40,2,13,14
4,2,8,37,3,4
4,3,1,38,17,18
4,3,14,23,37,38
4,3,3,29,21,22
4,3,2,11,39,40
4,3,4,12,3,4
4,3,16,30,9,10
4,3,26,35,31,32
4,3,17,20,1,2
4,3,21,37,13,14
4,3,19,31,29,30
4,3,27,13,25,26
4,3,33,5,19,20
4,3,28,36,27,28
5,1,5,38,11,12
5,1,26,39,33,34
5,1,17,2,23,24
5,1,11,19,17,18
5,1,33,14,37,38
5,1,24,28,19,20
5,1,25,23,27,28
5,1,10,35,31,32
5,1,13,15,29,30
5,1,34,29,15,16
5,1,18,21,25,26
5,1,32,37,1,2
5,1,3,30,5,6
5,1,22,7,21,22
5,1,12,20,9,10
5,1,36,6,3,4
5,1,16,40,39,40
5,1,1,31,7,8
5,2,22,23,29,30
5,2,8,9,35,36
5,2,32,40,1,2
5,2,29,13,33,34
5,2,18,6,11,12
5,2,27,30,7,8
5,2,37,14,27,28
5,2,20,15,25,26
5,2,24,21,5,6
5,2,17,11,19,20
5,2,26,10,21,22
5,2,25,39,23,24
5,2,1,5,39,40
5,2,35,7,15,16
5,2,16,33,17,18
5,3,33,30,13,14
5,3,26,5,31,32
5,3,25,3,19,20
5,3,19,22,3,4
5,3,8,15,39,40
5,3,13,14,29,30
5,3,32,23,23,24
5,3,34,2,1,2
5,3,37,31,5,6
5,3,1,6,33,34
5,3,38,7,25,26
5,3,11,21,17,18
5,3,4,39,37,38
5,3,35,27,9,10
5,3,24,29,7,8
5,3,40,17,35,36
5,3,10,36,11,12
6,1,25,29,29,30
6,1,28,30,23,24
6,1,27,14,11,12
6,1,24,16,35,36
6,1,8,22,39,40
6,1,40,37,33,34
6,1,1,26,5,6
6,1,9,13,17,18
6,1,2,36,37,38
6,1,35,31,15,16
6,1,18,10,7,8
6,1,5,15,25,26
6,1,19,4,13,14
6,1,20,6,3,4
6,1,3,38,9,10
6,2,34,12,37,38
6,2,37,22,15,16
6,2,27,4,23,24
6,2,24,26,5,6
6,2,7,31,9,10
6,2,21,15,7,8
6,2,10,6,19,20
6,2,40,29,33,34
6,2,38,39,29,30
6,2,1,3,11,12
6,2,33,18,1,2
6,2,8,17,31,32
6,2,36,23,17,18
6,2,16,28,25,26
6,2,19,35,39,40
6,2,9,20,21,22
6,2,32,25,27,28
6,2,2,30,13,14
6,3,4,21,25,26
6,3,29,30,23,24
6,3,19,38,29,30
6,3,8,2,9,10
6,3,17,6,17,18
6,3,36,22,31,32
6,3,16,35,19,20
6,3,26,13,3,4
6,3,3,28,33,34
6,3,34,37,27,28
6,3,1,20,11,12
6,3,18,15,39,40
6,3,33,23,35,36
6,3,27,12,37,38
6,3,40,7,5,6
6,3,32,24,7,8
6,3,5,14,13,14
6,3,11,39,1,2
6,3,9,31,15,16
6,3,25,10,21,22
7,1,19,29,23,24
7,1,2,38,19,20
7,1,16,25,15,16
7,1,1,9,25,26
7,1,27,28,33,34
7,1,32,21,31,32
7,1,35,5,11,12
7,1,26,20,13,14
7,1,40,18,17,18
7,1,11,13,39,40
7,1,3,36,5,6
7,1,34,6,37,38
7,1,24,4,27,28
7,1,33,15,1,2
7,1,17,23,9,10
7,1,8,14,7,8
7,1,7,39,29,30
7,1,22,31,21,22
7,1,37,30,3,4
7,2,16,11,29,30
7,2,5,37,21,22
7,2,1,21,23,24
7,2,27,19,33,34
7,2,40,6,13,14
7,2,18,35,31,32
7,2,25,38,3,4
7,2,4,31,1,2
7,2,20,14,7,8
7,2,17,33,9,10
7,2,8,32,39,40
7,2,22,39,5,6
7,2,34,15,35,36
7,2,10,12,17,18
7,2,26,30,11,12
7,2,24,3,25,26
7,2,9,2,19,20
7,2,28,29,37,38
7,2,7,23,27,28
7,2,36,13,15,16
7,3,33,28,23,24
7,3,24,13,21,22
7,3,9,30,33,34
7,3,26,6,37,38
7,3,11,4,3,4
7,3,18,12,27,28
7,3,35,29,5,6
7,3,34,7,25,26
7,3,2,22,31,32
