Week,Team#,Match1,Match2,Match3
1, 1    , 27&28 , 25&26 , 13&14  
1, 2    , 51&52 , 47&48 , 3&4  
1, 3    , 13&14 , 3&4 , 23&24  
1, 4    , 27&28 , 11&12 , 15&16  
1, 5    , T1&T2 , 7&8 , 11&12  
1, 6    , 49&50 , 1&2 , 25&26  
1, 7    , 25&26 , T7&T8 , 1&2  
1, 8    , T7&T8 , 13&14 , T5&T6  
1, 9    , 1&2 , 5&6 , T7&T8  
1, 10   , 21&22 , 15&16 , 1&2  
1, 11   , 7&8 , 21&22 , 49&50  
1, 12   , T1&T2 , 15&16 , 21&22  
1, 13   , 45&46 , 7&8 , 47&48  
1, 14   , 15&16 , T3&T4 , 27&28  
1, 15   , 47&48 , 49&50 , 51&52  
1, 16   , 7&8 , 1&2 , 9&10  
1, 17   , 9&10 , 27&28 , 47&48  
1, 18   , T5&T6 , 51&52 , 7&8  
1, 19   , 45&46 , T5&T6 , 49&50  
1, 20   , 25&26 , 51&52 , 23&24  
1, 21   , 3&4 , T3&T4 , T7&T8  
1, 22   , T3&T4 , 21&22 , 7&8  
1, 23   , 51&52 , 11&12 , 5&6  
1, 24   , 23&24 , 27&28 , 15&16  
1, 25   , 3&4 , 25&26 , 5&6  
1, 26   , 5&6 , T1&T2 , 13&14  
1, 27   , T5&T6 , 9&10 , 27&28  
1, 28   , 11&12 , T1&T2 , 9&10  
1, 29   , 5&6 , 23&24 , T3&T4  
1, 30   , T3&T4 , T7&T8 , 45&46  
1, 31   , 15&16 , 13&14 , T3&T4  
1, 32   , 11&12 , 5&6 , T1&T2  
1, 33   , 49&50 , 3&4 , T5&T6  
1, 34   , 9&10 , 47&48 , 21&22  
1, 35   , 1&2 , 49&50 , 45&46  
1, 36   , 47&48 , 45&46 , T1&T2  
1, 37   , 23&24 , 45&46 , 25&26  
1, 38   , T7&T8 , T5&T6 , 3&4  
1, 39   , 21&22 , 23&24 , 11&12  
1, 40   , 13&14 , 9&10 , 51&52  
2, 1    , 3&4 , 49&50 , 23&24  
2, 2    , 51&52 , 5&6 , 45&46  
2, 3    , 21&22 , 13&14 , 51&52  
2, 4    , 1&2 , 9&10 , 11&12  
2, 5    , 49&50 , 21&22 , 7&8  
2, 6    , T7&T8 , T1&T2 , 1&2  
2, 7    , 51&52 , 15&16 , T1&T2  
2, 8    , 15&16 , T7&T8 , 13&14  
2, 9    , T1&T2 , 47&48 , 45&46  
2, 10   , 5&6 , 9&10 , 25&26  
2, 11   , 49&50 , 3&4 , 27&28  
2, 12   , 9&10 , T7&T8 , 5&6  
2, 13   , 25&26 , 1&2 , 9&10  
2, 14   , T5&T6 , 25&26 , 51&52  
2, 15   , 13&14 , T3&T4 , 21&22  
2, 16   , 45&46 , 51&52 , 9&10  
2, 17   , 47&48 , T5&T6 , 25&26  
2, 18   , T3&T4 , 7&8 , 13&14  
2, 19   , T5&T6 , 45&46 , T1&T2  
2, 20   , 27&28 , 21&22 , 49&50  
2, 21   , 15&16 , 51&52 , 3&4  
2, 22   , 13&14 , 47&48 , T5&T6  
2, 23   , 7&8 , 13&14 , T7&T8  
