Week,Game,Team 1, Team 2, Court 1, Court 2
1,1,13,22,1,2
1,1,32,33,31,32
1,1,28,21,37,38
1,1,19,39,33,34
1,1,1,7,7,8
1,1,16,11,3,4
1,1,2,14,23,24
1,1,40,10,21,22
1,1,24,27,5,6
1,2,27,29,33,34
1,2,26,20,35,36
1,2,10,5,19,20
1,2,2,38,9,10
1,2,8,30,3,4
1,2,33,19,5,6
1,2,3,6,7,8
1,2,9,13,15,16
1,2,14,15,39,40
1,2,16,22,21,22
1,2,11,21,23,24
1,2,1,18,11,12
1,2,28,7,29,30
1,2,25,23,25,26
1,3,27,39,3,4
1,3,35,28,25,26
1,3,33,13,23,24
1,3,8,12,1,2
1,3,3,4,37,38
1,3,40,20,11,12
1,3,16,23,15,16
1,3,18,21,39,40
1,3,29,15,35,36
1,3,10,19,9,10
1,3,9,11,27,28
1,3,32,36,31,32
1,3,37,38,33,34
1,3,25,1,29,30
1,3,34,14,19,20
1,3,24,7,17,18
2,1,10,7,23,24
2,1,17,34,29,30
2,1,16,19,27,28
2,1,18,30,3,4
2,1,3,23,33,34
2,1,32,13,39,40
2,1,27,4,25,26
2,1,28,15,15,16
2,1,40,38,17,18
2,1,5,39,37,38
2,1,26,6,1,2
2,1,1,36,11,12
2,1,35,14,13,14
2,2,2,31,17,18
2,2,25,19,23,24
2,2,10,23,5,6
2,2,32,5,13,14
2,2,9,29,19,20
2,2,8,39,37,38
2,2,24,33,7,8
2,2,11,7,15,16
2,3,2,28,1,2
2,3,3,38,29,30
2,3,8,21,17,18
2,3,16,39,35,36
2,3,24,30,25,26
2,3,14,6,15,16
2,3,18,22,37,38
2,3,5,29,7,8
2,3,34,26,9,10
2,3,19,27,33,34
2,3,9,20,19,20
2,3,36,37,11,12
2,3,35,13,21,22
2,3,33,15,27,28
2,3,17,12,39,40
3,1,2,10,25,26
3,1,17,31,7,8
3,1,25,7,31,32
3,1,1,3,29,30
3,1,28,6,15,16
3,1,37,39,27,28
3,1,4,30,23,24
3,1,29,13,33,34
3,1,36,15,35,36
3,1,27,14,1,2
3,1,24,9,13,14
3,1,32,11,39,40
3,1,18,34,37,38
3,1,26,19,3,4
3,1,5,38,17,18
3,1,12,21,9,10
3,2,18,37,9,10
3,2,3,36,25,26
3,2,10,22,37,38
3,2,4,15,33,34
3,2,33,21,5,6
3,2,1,9,31,32
3,2,16,38,17,18
3,2,19,6,23,24
3,2,30,23,13,14
3,2,26,31,7,8
3,2,32,40,29,30
3,2,35,5,27,28
3,2,20,29,11,12
3,2,12,39,39,40
3,2,14,7,35,36
3,3,21,39,37,38
3,3,40,31,31,32
3,3,36,14,23,24
3,3,10,29,15,16
3,3,16,27,29,30
3,3,17,4,27,28
3,3,9,18,25,26
3,3,19,5,1,2
3,3,37,13,33,34
3,3,32,30,19,20
3,3,24,34,13,14
3,3,8,33,7,8
3,3,38,7,17,18
3,3,26,15,9,10
4,1,37,31,25,26
4,1,40,26,5,6
4,1,9,36,27,28
4,1,10,4,29,30
4,1,35,20,23,24
4,1,7,39,7,8
4,1,6,15,17,18
4,1,24,18,3,4
4,1,22,23,9,10
4,1,16,29,1,2
4,1,5,14,13,14
4,1,1,28,21,22
4,2,4,7,23,24
4,2,30,39,15,16
4,2,34,31,11,12
4,2,21,38,19,20
4,2,40,19,39,40
4,2,36,22,29,30
4,2,11,23,9,10
4,2,12,37,33,34
4,2,33,1,27,28
4,2,18,27,21,22
4,2,16,15,13,14
4,2,10,6,35,36
4,2,8,14,5,6
4,2,9,35,17,18
4,2,3,5,37,38
4,2,2,20,25,26
4,3,33,28,17,18
4,3,24,23,35,36
4,3,19,11,7,8
4,3,10,31,33,34
4,3,26,35,23,24
4,3,25,5,15,16
4,3,32,38,5,6
4,3,9,2,31,32
4,3,6,39,19,20
4,3,8,27,27,28
4,3,30,15,29,30
4,3,20,14,21,22
4,3,12,29,11,12
4,3,1,4,1,2
4,3,16,40,39,40
4,3,34,3,9,10
4,3,21,22,3,4
4,3,17,13,37,38
4,3,37,7,13,14
5,1,40,7,9,10
5,1,24,36,37,38
5,1,12,6,27,28
5,1,8,26,15,16
5,1,11,15,35,36
5,1,9,17,33,34
5,1,1,34,7,8
5,1,32,3,21,22
5,1,25,20,25,26
5,1,10,13,11,12
5,1,18,19,29,30
5,1,28,22,39,40
5,1,27,21,31,32
5,1,2,5,13,14
5,1,31,23,1,2
5,1,37,14,17,18
5,1,35,29,23,24
5,2,3,14,23,24
5,2,16,34,19,20
5,2,19,15,17,18
5,2,24,22,27,28
5,2,10,28,1,2
5,2,18,36,5,6
5,2,8,7,3,4
5,2,9,4,7,8
5,2,2,13,21,22
5,2,1,11,15,16
5,2,38,30,33,34
5,2,33,31,13,14
5,2,25,39,11,12
5,2,37,23,29,30
5,2,17,27,37,38
5,3,35,6,3,4
5,3,22,7,1,2
5,3,34,27,5,6
5,3,33,10,29,30
5,3,24,21,31,32
5,3,12,20,7,8
5,3,14,23,21,22
5,3,19,36,17,18
5,3,8,38,39,40
5,3,9,5,33,34
5,3,17,37,23,24
5,3,31,39,25,26
5,3,40,15,15,16
5,3,16,2,35,36
5,3,4,29,19,20
5,3,25,28,27,28
5,3,11,3,37,38
5,3,32,18,11,12
6,1,16,25,3,4
6,1,20,36,21,22
6,1,34,37,15,16
6,1,12,38,35,36
6,1,40,21,9,10
6,1,2,3,33,34
6,1,5,6,17,18
6,1,1,23,39,40
6,1,30,31,31,32
6,1,33,11,7,8
6,1,24,8,29,30
6,1,26,29,1,2
6,1,28,39,37,38
6,1,10,27,27,28
6,1,32,17,19,20
6,1,19,22,5,6
6,1,18,7,13,14
6,2,8,40,13,14
6,2,18,14,19,20
6,2,34,15,21,22
6,2,27,6,9,10
6,2,1,37,5,6
6,2,24,10,39,40
6,2,16,36,11,12
6,2,32,22,25,26
6,2,19,38,35,36
6,2,21,7,33,34
6,2,28,13,37,38
6,2,11,39,31,32
6,2,3,12,1,2
6,2,25,9,29,30
6,2,17,20,7,8
6,2,26,30,15,16
6,2,33,2,23,24
6,2,35,4,27,28
6,2,29,31,17,18
6,3,28,14,11,12
6,3,11,31,31,32
6,3,40,2,33,34
6,3,38,39,9,10
6,3,25,13,21,22
6,3,17,23,17,18
6,3,9,30,19,20
6,3,19,21,13,14
6,3,33,3,35,36
6,3,24,32,1,2
6,3,10,15,3,4
6,3,18,20,7,8
6,3,27,12,39,40
6,3,1,29,5,6
6,3,16,5,23,24
6,3,37,6,25,26
6,3,26,4,37,38
6,3,8,22,15,16
6,3,35,36,29,30
7,1,3,29,7,8
7,1,25,21,13,14
7,1,27,20,31,32
7,1,19,31,29,30
7,1,34,2,11,12
7,1,10,14,39,40
7,1,12,5,9,10
7,1,36,7,5,6
7,1,37,22,1,2
7,1,9,6,19,20
7,1,8,28,3,4
7,1,24,26,35,36
7,1,23,15,15,16
7,1,32,35,23,24
7,1,17,38,33,34
7,1,1,13,21,22
7,1,40,18,25,26
7,1,11,30,27,28
7,1,16,4,17,18
7,2,1,2,9,10
7,2,17,26,35,36
7,2,5,23,17,18
7,2,24,38,19,20
7,2,9,15,23,24
7,2,34,7,15,16
7,2,3,31,11,12
7,2,25,27,1,2
7,2,18,35,13,14
7,2,12,22,31,32
7,2,11,6,25,26
7,2,33,39,39,40
7,2,19,20,21,22
7,2,29,30,27,28
7,2,40,14,3,4
7,2,28,37,37,38
7,2,32,16,29,30
7,2,10,21,5,6
7,2,8,13,33,34
7,3,32,28,11,12
7,3,2,11,31,32
7,3,25,26,3,4
7,3,1,27,5,6
7,3,36,4,7,8
7,3,19,37,19,20
7,3,17,5,17,18
7,3,20,31,1,2
7,3,3,21,15,16
7,3,29,23,21,22
7,3,9,33,35,36
7,3,24,12,37,38
7,3,10,38,27,28
7,3,22,6,39,40
7,3,18,39,29,30
7,3,40,35,23,24
7,3,15,7,25,26
7,3,34,30,13,14
7,3,8,16,9,10
7,3,13,14,33,34
